material,sending,receiving,planned_deployment_date,deployed_qty,demand_element,ori_deployment_uid
80807116,A672,E568,2026-01-24,1,net demand for forecast,80807116|A672|E568|2026-01-24|net demand for forecast|039958
80807116,A672,E568,2026-01-24,1,net demand for normal,80807116|A672|E568|2026-01-24|net demand for normal|039959
80840975,A673,E564,2026-01-24,1,net demand for forecast,80840975|A673|E564|2026-01-24|net demand for forecast|040201
80840975,A673,E564,2026-01-24,1,net demand for forecast,80840975|A673|E564|2026-01-24|net demand for forecast|040202
80840975,A673,E564,2026-01-24,1,net demand for forecast,80840975|A673|E564|2026-01-24|net demand for forecast|040203
80840975,A673,E564,2026-01-24,1,net demand for forecast,80840975|A673|E564|2026-01-24|net demand for forecast|040204
80840975,A673,E564,2026-01-24,1,net demand for normal,80840975|A673|E564|2026-01-24|net demand for normal|040205
80840975,A673,E564,2026-01-24,1,net demand for safety,80840975|A673|E564|2026-01-24|net demand for safety|040206
80848024,A672,C819,2026-01-24,1,net demand for normal,80848024|A672|C819|2026-01-24|net demand for normal|040244
21098519,A673,E556,2026-01-25,6,net demand for safety,21098519|A673|E556|2026-01-25|net demand for safety|040516
21113405,C816,D767,2026-01-25,1,net demand for safety,21113405|C816|D767|2026-01-25|net demand for safety|040535
21118867,C816,D767,2026-01-25,1,net demand for safety,21118867|C816|D767|2026-01-25|net demand for safety|040536
21121751,C816,D767,2026-01-25,1,net demand for safety,21121751|C816|D767|2026-01-25|net demand for safety|040547
21121752,C816,D767,2026-01-25,1,net demand for safety,21121752|C816|D767|2026-01-25|net demand for safety|040550
21121756,C816,D767,2026-01-25,1,net demand for safety,21121756|C816|D767|2026-01-25|net demand for safety|040552
21128067,A672,E568,2026-01-25,2,net demand for safety,21128067|A672|E568|2026-01-25|net demand for safety|040555
21148509,A673,E556,2026-01-25,1,net demand for safety,21148509|A673|E556|2026-01-25|net demand for safety|040648
21162696,C816,D767,2026-01-25,3,net demand for safety,21162696|C816|D767|2026-01-25|net demand for safety|040669
21165946,A673,E556,2026-01-25,1,net demand for safety,21165946|A673|E556|2026-01-25|net demand for safety|040674
21165946,C816,E467,2026-01-25,3,net demand for safety,21165946|C816|E467|2026-01-25|net demand for safety|040675
21170683,C816,E467,2026-01-25,1,net demand for safety,21170683|C816|E467|2026-01-25|net demand for safety|040685
21314602,C816,D767,2026-01-25,3,net demand for safety,21314602|C816|D767|2026-01-25|net demand for safety|040752
80804705,C816,E467,2026-01-25,1,net demand for forecast,80804705|C816|E467|2026-01-25|net demand for forecast|041161
80804705,C816,E467,2026-01-25,1,net demand for forecast,80804705|C816|E467|2026-01-25|net demand for forecast|041162
80804705,C816,E467,2026-01-25,1,net demand for forecast,80804705|C816|E467|2026-01-25|net demand for forecast|041163
80804705,C816,E467,2026-01-25,1,net demand for forecast,80804705|C816|E467|2026-01-25|net demand for forecast|041164
80804705,C816,E467,2026-01-25,1,net demand for forecast,80804705|C816|E467|2026-01-25|net demand for forecast|041165
80804705,C816,E467,2026-01-25,2,net demand for safety,80804705|C816|E467|2026-01-25|net demand for safety|041166
80805856,A672,E568,2026-01-25,1,net demand for normal,80805856|A672|E568|2026-01-25|net demand for normal|041172
80840976,C816,D767,2026-01-25,2,net demand for safety,80840976|C816|D767|2026-01-25|net demand for safety|041620
80848023,C816,D767,2026-01-25,2,net demand for safety,80848023|C816|D767|2026-01-25|net demand for safety|041653
80848024,A672,C819,2026-01-25,1,net demand for normal,80848024|A672|C819|2026-01-25|net demand for normal|041654
80864469,C816,D767,2026-01-25,6,net demand for safety,80864469|C816|D767|2026-01-25|net demand for safety|041690
80864470,C816,D767,2026-01-25,2,net demand for safety,80864470|C816|D767|2026-01-25|net demand for safety|041692
21098519,A673,E556,2026-01-26,1,net demand for safety,21098519|A673|E556|2026-01-26|net demand for safety|041766
21098519,C810,C937,2026-01-26,1,net demand for safety,21098519|C810|C937|2026-01-26|net demand for safety|041767
21098519,C816,E569,2026-01-26,1,net demand for safety,21098519|C816|E569|2026-01-26|net demand for safety|041770
21103371,C816,C563,2026-01-26,1,net demand for safety,21103371|C816|C563|2026-01-26|net demand for safety|041783
21103372,C810,C937,2026-01-26,1,net demand for forecast,21103372|C810|C937|2026-01-26|net demand for forecast|041786
21103372,C810,C937,2026-01-26,1,net demand for forecast,21103372|C810|C937|2026-01-26|net demand for forecast|041787
21103372,C810,C937,2026-01-26,1,net demand for forecast,21103372|C810|C937|2026-01-26|net demand for forecast|041788
21103372,C810,C937,2026-01-26,1,net demand for forecast,21103372|C810|C937|2026-01-26|net demand for forecast|041789
21103372,C810,C937,2026-01-26,1,net demand for forecast,21103372|C810|C937|2026-01-26|net demand for forecast|041790
