transit_uid,date,material,sending,receiving,actual_ship_date,actual_delivery_date,quantity,ori_deployment_uid,vehicle_uid
80796091|0386|A716|2026-01-08|net demand for forecast|018409_transit_20260108-0386-A716-Train-#1,2026-01-21,80796091,0386,A716,2026-01-08,2026-01-22,1,80796091|0386|A716|2026-01-08|net demand for forecast|018409,20260108-0386-A716-Train-#1
80796091|0386|A716|2026-01-08|net demand for forecast|018410_transit_20260108-0386-A716-Train-#1,2026-01-21,80796091,0386,A716,2026-01-08,2026-01-22,1,80796091|0386|A716|2026-01-08|net demand for forecast|018410,20260108-0386-A716-Train-#1
80796091|0386|A716|2026-01-08|net demand for forecast|018411_transit_20260108-0386-A716-Train-#1,2026-01-21,80796091,0386,A716,2026-01-08,2026-01-22,1,80796091|0386|A716|2026-01-08|net demand for forecast|018411,20260108-0386-A716-Train-#1
80796091|0386|A716|2026-01-08|net demand for forecast|018412_transit_20260108-0386-A716-Train-#1,2026-01-21,80796091,0386,A716,2026-01-08,2026-01-22,1,80796091|0386|A716|2026-01-08|net demand for forecast|018412,20260108-0386-A716-Train-#1
80796091|0386|A716|2026-01-08|net demand for forecast|018413_transit_20260108-0386-A716-Train-#1,2026-01-21,80796091,0386,A716,2026-01-08,2026-01-22,1,80796091|0386|A716|2026-01-08|net demand for forecast|018413,20260108-0386-A716-Train-#1
80796091|0386|A716|2026-01-08|net demand for forecast|018414_transit_20260108-0386-A716-Train-#1,2026-01-21,80796091,0386,A716,2026-01-08,2026-01-22,1,80796091|0386|A716|2026-01-08|net demand for forecast|018414,20260108-0386-A716-Train-#1
80796091|0386|A716|2026-01-08|net demand for forecast|018415_transit_20260108-0386-A716-Train-#1,2026-01-21,80796091,0386,A716,2026-01-08,2026-01-22,1,80796091|0386|A716|2026-01-08|net demand for forecast|018415,20260108-0386-A716-Train-#1
80796091|0386|A716|2026-01-08|net demand for forecast|018416_transit_20260108-0386-A716-Train-#1,2026-01-21,80796091,0386,A716,2026-01-08,2026-01-22,1,80796091|0386|A716|2026-01-08|net demand for forecast|018416,20260108-0386-A716-Train-#1
80804701|0386|A716|2026-01-08|net demand for forecast|018552_transit_20260108-0386-A716-Train-#1,2026-01-21,80804701,0386,A716,2026-01-08,2026-01-22,2,80804701|0386|A716|2026-01-08|net demand for forecast|018552,20260108-0386-A716-Train-#1
80804701|0386|A716|2026-01-08|net demand for forecast|018553_transit_20260108-0386-A716-Train-#1,2026-01-21,80804701,0386,A716,2026-01-08,2026-01-22,2,80804701|0386|A716|2026-01-08|net demand for forecast|018553,20260108-0386-A716-Train-#1
80804701|0386|A716|2026-01-08|net demand for forecast|018554_transit_20260108-0386-A716-Train-#1,2026-01-21,80804701,0386,A716,2026-01-08,2026-01-23,2,80804701|0386|A716|2026-01-08|net demand for forecast|018554,20260108-0386-A716-Train-#1
80804701|0386|A716|2026-01-08|net demand for forecast|018555_transit_20260108-0386-A716-Train-#1,2026-01-21,80804701,0386,A716,2026-01-08,2026-01-22,2,80804701|0386|A716|2026-01-08|net demand for forecast|018555,20260108-0386-A716-Train-#1
80804701|0386|A716|2026-01-08|net demand for forecast|018556_transit_20260108-0386-A716-Train-#1,2026-01-21,80804701,0386,A716,2026-01-08,2026-01-22,2,80804701|0386|A716|2026-01-08|net demand for forecast|018556,20260108-0386-A716-Train-#1
80804701|0386|A716|2026-01-08|net demand for forecast|018557_transit_20260108-0386-A716-Train-#1,2026-01-21,80804701,0386,A716,2026-01-08,2026-01-22,2,80804701|0386|A716|2026-01-08|net demand for forecast|018557,20260108-0386-A716-Train-#1
80804701|0386|A716|2026-01-08|net demand for forecast|018558_transit_20260108-0386-A716-Train-#1,2026-01-21,80804701,0386,A716,2026-01-08,2026-01-22,2,80804701|0386|A716|2026-01-08|net demand for forecast|018558,20260108-0386-A716-Train-#1
80804701|0386|A716|2026-01-08|net demand for forecast|018559_transit_20260108-0386-A716-Train-#1,2026-01-21,80804701,0386,A716,2026-01-08,2026-01-22,2,80804701|0386|A716|2026-01-08|net demand for forecast|018559,20260108-0386-A716-Train-#1
80804701|0386|A716|2026-01-08|net demand for forecast|018560_transit_20260108-0386-A716-Train-#1,2026-01-21,80804701,0386,A716,2026-01-08,2026-01-22,2,80804701|0386|A716|2026-01-08|net demand for forecast|018560,20260108-0386-A716-Train-#1
80804701|0386|A716|2026-01-08|net demand for forecast|018561_transit_20260108-0386-A716-Train-#1,2026-01-21,80804701,0386,A716,2026-01-08,2026-01-22,2,80804701|0386|A716|2026-01-08|net demand for forecast|018561,20260108-0386-A716-Train-#1
80804701|0386|A716|2026-01-08|net demand for forecast|018562_transit_20260108-0386-A716-Train-#1,2026-01-21,80804701,0386,A716,2026-01-08,2026-01-22,2,80804701|0386|A716|2026-01-08|net demand for forecast|018562,20260108-0386-A716-Train-#1
80804701|0386|A716|2026-01-08|net demand for forecast|018563_transit_20260108-0386-A716-Train-#1,2026-01-21,80804701,0386,A716,2026-01-08,2026-01-22,2,80804701|0386|A716|2026-01-08|net demand for forecast|018563,20260108-0386-A716-Train-#1
80804701|0386|A716|2026-01-08|net demand for forecast|018564_transit_20260108-0386-A716-Train-#1,2026-01-21,80804701,0386,A716,2026-01-08,2026-01-23,2,80804701|0386|A716|2026-01-08|net demand for forecast|018564,20260108-0386-A716-Train-#1
80804701|0386|A716|2026-01-08|net demand for forecast|018565_transit_20260108-0386-A716-Train-#1,2026-01-21,80804701,0386,A716,2026-01-08,2026-01-22,2,80804701|0386|A716|2026-01-08|net demand for forecast|018565,20260108-0386-A716-Train-#1
80804701|0386|A716|2026-01-08|net demand for forecast|018566_transit_20260108-0386-A716-Train-#1,2026-01-21,80804701,0386,A716,2026-01-08,2026-01-23,2,80804701|0386|A716|2026-01-08|net demand for forecast|018566,20260108-0386-A716-Train-#1
80804701|0386|A716|2026-01-08|net demand for forecast|018567_transit_20260108-0386-A716-Train-#1,2026-01-21,80804701,0386,A716,2026-01-08,2026-01-22,2,80804701|0386|A716|2026-01-08|net demand for forecast|018567,20260108-0386-A716-Train-#1
80804701|0386|A716|2026-01-08|net demand for forecast|018568_transit_20260108-0386-A716-Train-#1,2026-01-21,80804701,0386,A716,2026-01-08,2026-01-22,2,80804701|0386|A716|2026-01-08|net demand for forecast|018568,20260108-0386-A716-Train-#1
80804701|0386|A716|2026-01-08|net demand for forecast|018569_transit_20260108-0386-A716-Train-#1,2026-01-21,80804701,0386,A716,2026-01-08,2026-01-23,3,80804701|0386|A716|2026-01-08|net demand for forecast|018569,20260108-0386-A716-Train-#1
80804701|0386|A716|2026-01-08|net demand for forecast|018570_transit_20260108-0386-A716-Train-#1,2026-01-21,80804701,0386,A716,2026-01-08,2026-01-22,3,80804701|0386|A716|2026-01-08|net demand for forecast|018570,20260108-0386-A716-Train-#1
21121756|0386|A716|2026-01-08|net demand for safety|017785_transit_20260108-0386-A716-Train-#1,2026-01-21,21121756,0386,A716,2026-01-08,2026-01-22,2,21121756|0386|A716|2026-01-08|net demand for safety|017785,20260108-0386-A716-Train-#1
